name,phone,website,city,fsa,province
Bradsons Plumbing & Heating Ltd.,902-317-2900,https://www.facebook.com/Bradsons-Plumbing-and-Heating-Ltd-104446735602756/,Millville,B1Y,NS
Bremner's Plumbing & Heating,902-453-4800,https://bremners.ca/,Halifax,B3S,NS
AAA Plumbing & Heating,902-564-8841,http://www.aaaplumbingheating.ca/,Edwardsville,B2A,NS
"TNB Plumbing, Heating, Air Conditioning Ltd.",902-396-5439,http://tnbplumbing.ca/,Westville,B0K,NS
Arrow Plumbing & Heating,902-830-1487,https://www.facebook.com/Arrow-Plumbing-Heating-154254125219269/,Halifax,B3M,NS
True Flush Plumbing & Heating,902-692-1349,http://www.trueflushplumbing.com/,Canning,B0P,NS
Glasgow Plumbing and Heating,902-600-0794,https://www.facebook.com/glasgowplumbingandheating,New Glasgow,B2H,NS
Troy's Plumbing & Heating,902-670-1859,https://www.facebook.com/TroysPlumbingAndHeating/,Kentville,B4N,NS
W MacLean's Plumbing & Heating,902-272-8204,,Hopewell,B0K,NS
Blanchard R S Plumbing & Heating Ltd,902-757-2993,http://rsblanchard.ca/,Ellershouse,B0N,NS
Len's Plumbing & Heating,902-543-2353,http://lensplumbingandheating.ca/,Bridgewater,B4V,NS
Gary's Plumbing & Heating Ltd,902-830-7559,http://garysplumbing.ca/,Mount Uniacke,B0N,NS
MacLeod's Fuels - Plumbing & Heating,902-862-2721,http://macleodsfuels.ca/,New Waterford,B1H,NS
Ken Evans Plumbing & Heating Ltd,902-463-5691,https://www.kenevansplumbing.ca/,Dartmouth,B2Y,NS
John C MacKay Plumbing & Heating Ltd,902-895-8649,,Truro,B0N,NS
D & T Heating & Plumbing Ltd,902-890-0687,,Brookfield,B0N,NS
N.J. Armstrong Plumbing & Heating Ltd,902-277-0268,,Kingston,B0P,NS
Henderson J D Plumbing & Heating,902-895-3541,,Salmon River,B6L,NS
Brass-T Plumbing and Heating,902-986-3394,http://brasstplumbing.ca/,Truro,B2N,NS
Tradesmen Plumbing Heating & Ventilation,902-895-6563,,Salmon River,B2N,NS
Porter Mechanical Contractors,902-895-1087,,Salmon River,B6L,NS
Blenkhorn's Drain Cleaning & Property Services,902-890-4966,,Truro,B2N,NS
Brice?s Plumbing & Handyman Service?s,902-786-5595,,Green Creek,B0N,NS
MacKay John C Plumbing & Heating Ltd,902-895-8649,https://www.facebook.com/pages/John-C-MacKay-Plumbing-Heating-Ltd/1679049739024830,Brookfield,B0N,NS
BMC Contracting Ltd,902-899-5111,,Truro,B2N,NS
Brylee's Plumbing Services,902-956-3958,,Truro,B2N,NS
My Plumber,902-305-2671,http://www.iamyourplumber.ca/,Truro,B2N,NS
Fitz Plumbing Contractors Ltd,902-324-2237,,Truro,B2N,NS
EMCO Corporation,902-893-7434,http://emco.ca/,Truro,B2N,NS
Patton's Plumbing & Heating,902-893-3676,,North River,B6L,NS
Chris Boyd Plumbing Heating & Ventilation,902-890-5123,http://chrisboydplumbing.ca/,Onslow Mountain,B6L,NS
White's Plumbing&Heating,902-662-2035,,Debert,B0M,NS
Steady Flow Mechanical,902-225-2373,https://www.facebook.com/plumbingheatingGasfitting.EastHants.HRM/,Shubenacadie,B0N,NS
Archibald's Plumbing&Heating,902-662-4050,,Lower Debert,B0M,NS
Davies Plumbing & Heating,902-883-9078,http://daviesplumbingandheating.ca/,Elmsdale,B2S,NS
Davies Plumbing & Heating Ltd,902-883-9078,https://www.facebook.com/DaviesPH/,Elmsdale,B2S,NS
Scotia Plumbing,902-396-5800,,Stellarton,B0K,NS
Better Call Paul Plumbing Ltd,902-753-6388,http://bettercallpaulns.ca/,Westville,B0K,NS
Frank Parkers Plumbing Heating,902-396-4064,,Westville,B0K,NS
Marcott Plumbing & Heating,902-695-2558,http://marcottplumbingandheating.ca/,Westville,B0K,NS
Gordon Black Plumbing & Heating,902-657-8988,,Tatamagouche,B0K,NS
TNB Plumbing,902-396-5439,,New Glasgow,B0K,NS
Al's Plumbing & Heating,902-759-5668,,New Glasgow,B2H,NS
Lila's Plumbing & Odd Jobs,902-759-4650,,New Glasgow,B2H,NS
EMCO Corporation,902-752-2547,http://emco.ca/,New Glasgow,B2H,NS
Those Guys Plumbing & Electrical Ltd.,902-301-3036,https://www.facebook.com/ThoseGuysPE/,New Glasgow,B2H,NS
North Shore Plumbing,902-957-2764,http://nsplumbing.ca/,Tatamagouche,B0K,NS
North Nova Construction,902-755-3308,,New Glasgow,B2H,NS
Ross Macdonald Plumbing & Burner Services,902-695-3002,http://www.rmacdonald-plumbing.com/,New Glasgow,B2H,NS
Ross Macdonald Plumbing & Burner Service Ltd,902-695-3002,http://www.rmacdonald-plumbing.com/,New Glasgow,B2H,NS
Hoetten Rolph Plumbing & Heating,902-657-3943,,Tatamagouche,B0K,NS
Maverick Plumbing Services,902-301-1485,,New Glasgow,B2H,NS
Halverson Plumbing & Heating,902-657-2025,,Tatamagouche,B0K,NS
Solstice Plumbing & Maintenance,902-921-0921,,New Glasgow,B2H,NS
Utma Hps,902-456-9122,,East Chezzetcook,B0J,NS
Gordon H Chapman Plbg & Htg,902-485-6988,,Pictou,B0K,NS
Mike Chapman Heating & Plumbing Inc,902-382-2125,,Lyons Brook,B0K,NS
Pettipas Plumbing & Septic Tank Pumping Services,902-827-3366,,East Chezzetcook,B0J,NS
Lee Castle's Plumbing & Heating,902-860-1640,http://www.leecastleplumbingltd.com/,Fletchers Lake,B2T,NS
Eternity Mechanical,902-890-1791,http://www.facebook.com/EternityMech/,River John,B0K,NS
Homerun Plumbing & Renovations,782-640-2222,,Beaver Bank,B4G,NS
Holloway's Plumbing & Heating,782-414-1810,,Beaver Bank,B4G,NS
Doucets Plumbing & Heating Services,902-818-8494,,Mount Uniacke,B0N,NS
"Tony Rhynold Electrical, Plumbing And Heating Lt d.",902-866-0077,,Mount Uniacke,B0N,NS
AMT Plumbing & Heating Ltd,902-209-2308,http://amtplumbing.ca/,Beaver Bank,B4G,NS
A&L Plumbing & Heating Inc.,902-456-2653,http://www.facebook.com/855969397847377,Mineville,B2Z,NS
ACL Plumbing & Heating Ltd.,902-252-3777,http://www.facebook.com/202972746754115,Beaver Bank,B4G,NS
Willis Plumbing & Heating,902-434-9690,http://www.facebook.com/197037234011953,Cherry Brook,B2Z,NS
Dufferin Mechanical,902-654-2920,http://www.facebook.com/DufferinMechanicalLimited/info?ref=page_internal,Port Dufferin,B0J,NS
"Tony Rhynold Electrical, Plumbing and Heating",782-640-5710,http://tonyrhynold.com/,Lower Sackville,B4C,NS
Wilsons Home Heating,902-429-4545,http://homeheating.wilsons.ca/,Lower Sackville,B4C,NS
Celtic Plumbing & Heating,902-471-0406,http://celticplumbingandheating.ca/,Lower Sackville,B4C,NS
Drain Busters,902-701-5298,,Lower Sackville,B4C,NS
Scotia Tech Fluid Services Ltd,902-706-7274,http://www.census.com/,Dartmouth,B3B,NS
Clean Connections Plumbing/Heating,902-877-3616,,Dartmouth,B2X,NS
Tattrie's Plumbing,902-802-4670,,Lower Sackville,B4E,NS
Thomas Martin Construction Ltd.,902-442-5811,https://tmconstructionltd.ca,Lower Sackville,B4C,NS
Dcn Plumbing & Construction,902-497-8662,,Dartmouth,B2W,NS
Twin Cities Plumbing & Htg Ltd,902-435-3399,http://www.facebook.com/855412001252778,Dartmouth,B2X,NS
Permanent Results Plumbing & Heating Limited,902-452-5531,,Lower Sackville,B4E,NS
"Bird Stairs (Dartmouth) - Plumbing, Heating & El ectrical",902-465-2473,,Dartmouth,B3B,NS
Cornell Video Inspection & Pipe Lining,902-499-2310,http://www.whydig.com/,Middle Sackville,B4E,NS
Anchor Plumbing & Heating,902-864-0063,http://www.facebook.com/784650378345641,Middle Sackville,B4E,NS
Western Plumbing & Heating,902-468-2437,http://www.facebook.com/1519439035030894,Dartmouth,B3B,NS
Austin Lapierre Plumbing&Heating,902-865-2726,,Lower Sackville,B4C,NS
Eastern Plumbing & Heating Ltd,902-434-3878,http://easternplumbingandheating.com/,Dartmouth,B2X,NS
JB's Plumbing And Heating,902-252-3444,http://www.facebook.com/466590840210690,Sackville,B4E,NS
Action Plumbing&Heating,902-865-6143,http://www.facebook.com/1729708017307172,Middle Sackville,B4E,NS
Partington Sales,902-463-1758,http://partingtonsales.com/,Dartmouth,B2V,NS
Halifax Plumbing and Heating,902-880-5748,https://www.halifaxplumbingandheating.ca/,Dartmouth,B3B,NS
Atlantic Backflow Specialists Ltd,902-499-7745,http://www.atlanticbackflow.com/,Dartmouth,B2W,NS
Total Plumbing Inc,902-440-1561,http://www.facebook.com/1749213858648644,Halifax,B3B,NS
McNair Bros Plumbing&Heating Ltd,902-835-4576,http://www.facebook.com/947759285336911,Bedford,B4A,NS
Reliable Rooter,902-864-0393,http://www.plumbingandheatinghalifax.ca/,Dartmouth,B3B,NS
Al's Flat Rate Plumbing,902-414-3636,,Halifax,B3L,NS
Gophers Plumbing,902-880-0756,https://www.gphhalifax.ca/,Dartmouth,B2W,NS
Gopher Plumbing & Hydronic Heating,902-880-0756,,Dartmouth,B2W,NS
EMCO Corporation,902-468-4507,http://emco.ca/,Halifax,B3B,NS
Parker Plumbing & Heating Ltd,902-435-3999,http://parkerplumbing.ca/,Dartmouth,B3B,NS
W J Power Plumbing & Heating,902-463-0535,,Dartmouth,B3B,NS
EMCO Corporation,902-453-4410,http://emco.ca/,Halifax,B3B,NS
Integrated Commissioning and Certification,902-406-8398,,Dartmouth,B2Y,NS
Mister Hot Water Heater,902-802-0170,http://www.misterhotwaterheater.ca/,Dartmouth,B2W,NS
Blackburn Bennett Plumbing & Heating Inc,902-877-0850,http://blackburnbennett.com/,Dartmouth,B2W,NS
ADT Security Services,902-982-1502,,Dartmouth,B3B,NS
Pentz Contracting,902-210-9567,http://www.facebook.com/199514073889993,Dartmouth,B3A,NS
Plumbing Barn,902-466-6664,,Dartmouth,B2Y,NS
Dartmouth Plumbers Ltd,902-469-4089,http://www.facebook.com/221723931702034,Dartmouth,B2Y,NS
Lindsay's Plumbing & Heating,902-823-2602,,French Village,B3A,NS
Kdr Plumbing - Kevin Rendell,902-222-4337,,Dartmouth,B2Y,NS
East Coast Plumbing & Heating Ltd,902-463-3808,http://www.facebook.com/221261601573827,Dartmouth,B2Y,NS
H2O Plumbing,902-404-3898,,Bedford,B4B,NS
Uniplex Plumbing & Renovation Ltd.,902-403-5214,https://uniplexrenovation.com/,Dartmouth,B3A,NS
Macintosh Mechanical Plumbing Services,902-292-4378,,Halifax,B3M,NS
All Clear Drain Svc,902-455-3500,http://www.facebook.com/1176873692363181,Halifax,B3K,NS
Tanner Supply,902-454-8541,http://www.facebook.com/134216497359431,Halifax,B3K,NS
Doctor Drain,902-488-2208,http://www.facebook.com/167839147156707,Halifax,B3L,NS
Alpha Plumbing & Heating Ltd,902-830-5914,http://www.alphaplumbing.ca/,Dartmouth,B2W,NS
A J Murphy Plumbing & Heating,902-469-3663,http://www.ajmurphy.ca/,Halifax,B3A,NS
Ace Plumbing & Heating Ltd,902-479-1516,,Halifax,B3K,NS
The Plumber MD,902-233-9665,,Halifax,B3K,NS
Daniel Landry,902-452-3563,,Halifax,B3P,NS
B.E Plumbing Services,902-240-5206,,Halifax,B3L,NS
Dartmouth Central Plumbing & Heating,902-465-6057,,Eastern Passage,B0J,NS
EMCO Corporation,902-453-8144,http://emco.ca/,Halifax,B3K,NS
T O Plumbing & Heating Ltd,902-456-0070,http://www.facebook.com/108170699819472,Halifax,B4B,NS
Halifax Plumbing Pros,902-201-0585,,Halifax,B3H,NS
Harbour City Plumbing and Renovations,902-789-3108,https://hcpr.ca/,Halifax,B3H,NS
Halifax Plumbing Experts,902-706-8416,,Halifax,B3H,NS
Trevor Wheatley's Plumbing & Heating ltd,902-830-2868,,Halifax,B3L,NS
In Fluid Products Canada,902-421-7522,,Halifax,B3L,NS
AquaTech Plumbing Halifax Emergency Plumber,1-888-855-1582,http://AquaTechPlumbingHalifaxEmergencyPlumber.shop/,Halifax,B3L,NS
Kirk Heating Limited,902-405-3050,https://kirkheatinglimited.ca/,Bedford,B4B,NS
Accord Pipe Lining Plumbing Services,647-545-7474,,Halifax,B3M,NS
"Plumb Line Osteopathy , Kara Muhlhausen",519-766-3951,,Hammonds Plains,B4B,NS
Main Drain Plumbing And Heating,902-320-0422,,Halifax,B3M,NS
Blanchard R S Plumbing&Heating Ltd,902-757-2993,,Windsor,B0N,NS
Pace Plumbing & Heating Ltd,902-477-4633,https://paceplumbing.ca/,Halifax,B3P,NS
Nolan Plumbing & Heating,902-489-5325,http://www.nolanplumbing.ca/,Lewis Lake,B3Z,NS
MacDonald C C Limited,902-450-5184,http://www.facebook.com/935965686516753,Halifax,B3S,NS
JRK Plumbing,902-329-5065,http://krjplumbing.ca/,Halifax,B3R,NS
DC Heat & Maintenance Ltd,902-407-4328,http://www.dcheat.ca/,Halifax,B3R,NS
902 Plumbing & Heating,902-449-7287,https://www.902plumbing.pro/,Timberlea,B3T,NS
Clean Flo Plumbing & Heating Ltd,902-405-8829,http://www.cleanflohalifax.ca/,Timberlea,B3T,NS
Bear Mechanical Plumbing & Heating,902-229-8877,http://WWW.BEARMECHANICAL.CA/,Herring Cove,B3R,NS
Archangel Plumbing & Heating,902-448-1123,,Halifax,B3P,NS
Tantallon Plumbing & Heating,902-880-9555,http://www.facebook.com/854742067981397,Halifax,B3Z,NS
JEILD Plumbing Limited,902-412-6827,,Upper Tantallon,B3Z,NS
Eric J Dodge Plumbing Services,902-526-0828,https://www.facebook.com/Eric-J-Dodge-Plumbing-Services-100454358759562/,Middleton,B0S,NS
Reynolds Plumbing & Heating Ltd,902-798-5879,,Windsor,B0P,NS
Donald's Burner & Plumbing Services Ltd,902-684-3525,,Falmouth,B0P,NS
M C Plumbing And Heating,902-499-6744,,Falmouth,B0P,NS
Robars' Tri-Service Ltd,902-522-2766,,Sherbrooke,B0J,NS
Suburban,902-471-3140,http://www.facebook.com/258334767835882,Tantallon,B3Z,NS
"Avonport Plumbing, Heating and Electrical Ltd",902-300-0289,,Avonport,B0P,NS
Parker R J Mechanical,902-852-2317,,Halifax,B3T,NS
Anaconda Plumbing,902-790-9030,http://anacondaplumbing.ca/,Falmouth,B0P,NS
Tidal Mechanical Ltd,902-852-2690,http://www.facebook.com/528918400819763,Whites Lake,B3T,NS
Tidal Mechanical Plumbing & Heating Services Ltd,902-789-0639,http://www.facebook.com/tidalmechanical/,White Lake,B3T,NS
Hardy Plumbing & Gas,902-580-1105,,Halifax,B3M,NS
Luke's Plumbing and Heating Services,902-679-7947,,Grand Pre,B0P,NS
CA Smith Mechanical Ltd,902-863-4096,http://casmithmechanical.com/,Antigonish,B2G,NS
Mr. Rooter Plumbing of Halifax,902-332-3410,https://www.mrrooter.ca/halifax/request-job-estimate/,Prospect Bay,B3T,NS
Haley J L Plumbing & Heating Ltd,902-863-4849,,Antigonish,B2G,NS
Euro Plumbing & Heating,902-402-0776,http://www.facebook.com/137871613544079,Lower Prospect,B3T,NS
Brown & Smith Contractors Ltd,902-670-1725,,Wolfville,B4P,NS
Annapolis Valley Plumbing & Heating Limited,902-680-5506,,Wolfville,B4P,NS
Bill's Plumbing & Heating Service,902-697-2720,,Greenwich,B4P,NS
Malcolm Stevens Plumbing and Heating,902-670-3723,,New Minas,B4N,NS
A L A Plumb-Rite,902-542-2094,,Wolfville,B4P,NS
U A Local 244 Plumbers Pipe-Fitters & Welders,902-386-2551,,Heatherton,B0H,NS
Chapman George B Plumbing & Heating,902-667-8636,,Amherst,B4H,NS
Wade Murphy Plumbing,902-318-5232,http://wademurphyplumbing.ca/,Heatherton,B0H,NS
David Carey Plumbing & Heating,902-680-1293,,Kentville,B4N,NS
Martell Mechanical,902-300-3133,,Wolfville,B4P,NS
Absolute Plumbing & Heating,902-679-8682,,Kentville,B4N,NS
Valley Burner Service,902-678-9422,http://www.valleyburnerservice.com/,Kingston,B0P,NS
Keith Pulsifer's Plumbing & Heating,902-670-3220,,Kentville,B4N,NS
Response Plumber,902-698-1188,https://www.responseplumber.ca/,Port Williams,B0P,NS
Ron Martin's Plumbing Heating & Electrical,902-679-1954,http://www.ronmartinsplumbing.com/,Kentville,B4N,NS
Willow Renovations,902-681-6149,,Kentville,B4N,NS
Kings Plumbing & Heating,902-680-5532,,Cambridge,B0P,NS
GC Baxter Plumbing & Heating,902-538-3763,,Cambridge Station,B0P,NS
K P's Plumbing & Heating,902-698-0352,,Berwick,B0P,NS
Carty's Plumbing & Heating Ltd,902-538-8563,,Waterville,B0P,NS
Baker Dave Plumbing & Heating,902-538-7425,,Berwick,B0P,NS
Toshi Imai Plumbing And Heating Ltd,902-293-5071,,Halifax,B3L,NS
Dale Smith's Plumbing & Heating,902-680-1393,,Kentville,B0P,NS
Jordan's Plumbing & Heating,902-538-7646,http://www.oiltankinstallers.ca/,Berwick,B0P,NS
Jason T. Greek Plumbing & Heating,902-298-9543,http://www.facebook.com/jasongreeksplumbing,Barss Corner,B0R,NS
No Problem Plumbing & Electrical,902-624-8348,,Mahone Bay,B0J,NS
Conrads Pro Plumbing Heating Ltd,902-543-6652,,Pine Grove,B4V,NS
Langille's Plumbing & Heating Ltd,902-543-4897,http://www.langilles.com/,Bridgewater,B4V,NS
Mr Plumber,902-543-1314,http://mrplumber.ca/,Bridgewater,B4V,NS
Economical Plumbing Repairs,902-530-5888,,Bridgewater,B4V,NS
Rafuse G A Plumbing & Heating,902-527-8145,http://garafuseplumbingandheating.ca/,Bridgewater,B4V,NS
Langille's Peter Plumbing & Heating Ltd,902-527-2251,http://peterlangilleplumbingheating.vpweb.com/,Auburndale,B4V,NS
Tapped In Plumbing & Heating,902-299-5294,,New Germany,B0R,NS
Rafuse Mechanical,902-765-2712,https://rafusemechanical.com/,Meadowvale,B0P,NS
Mike Hoogerwerf Plumbing & Heating,902-825-3607,,East Margaretsville,B0S,NS
David Baker Plumbing & Heating,902-760-1109,,Wilmot Station,B0P,NS
Marshall Wayne Plumbing & Heating Ltd,902-825-4371,,Middleton,B0S,NS
Kevin Bushen Plumbing & Heating,902-530-2629,http://www.bushenplumbingandheating.com/,Italy Cross,B4V,NS
Scott Parks Plumbing Services,902-824-0183,,Middleton,B0S,NS
Brian Bollivar Plumbing & Heating,902-523-4985,http://www.brianbollivar.com/,Middlewood,B4V,NS
Landry Brothers Home Hardware,902-345-2720,https://homehardware.ca/,Louisdale,B0E,NS
Cole Cleveland?s Plumbing,902-930-3833,,Bridgewater,B4V,NS
Sully Plumbing & Heating Ltd,902-226-0280,,Arichat,B0E,NS
Samsons Plumbing Heating Ltd,902-227-7761,,Arichat,B0E,NS
LMD Plumbing,902-665-2382,,Bridgetown,B0S,NS
Bird Fred N Water & Sewerage Supply,902-756-3030,,Whycocomagh,B0E,NS
Tate Plumbing & Heating - Cape Breton,902-615-3266,,Sydney Mines,B1V,NS
Plumber & Backflow Prevention Specialist,902-350-6666,https://www.facebook.com/PlumberBackflowPreventionSpecialistFrankRTielsch/,Liverpool,B0T,NS
Plumbing & Backflow Prevention Specialist Inc,902-350-6666,,Liverpool,B0T,NS
Backflow Prevention and Plumber,902-350-6666,,Liverpool,B0T,NS
Parker Mountain Welding & Plumbing,902-526-0176,,Granville Ferry,B0S,NS
River's Edge Plumbing,902-295-8424,,Baddeck,B0E,NS
Am Plumbing,902-312-2021,,Clementsport,B0S,NS
Fougere's Plumbing & Heating,902-224-2020,,Cheticamp,B0E,NS
Able Mechanical,902-247-5669,,Digby,B0V,NS
Bell's Plumbing & Heating Services,902-574-3590,,Grand Mira North,B1K,NS
Corsair Plumbing And Gas Ltd.,902-500-1115,,East Bay,B1J,NS
Hillside Heating and Plumbing,902-544-1316,,Hillside Boularderie,B1Y,NS
Hemeon's Plumbing,902-875-1635,,Shelburne,B0T,NS
Precision Plumbing & Heating Ltd,902-578-0717,,Sydney,B1R,NS
Donovan & Associates Plumbing & Heating Ltd,902-317-2313,http://www.facebook.com/donovanplumbingheating,Sydney,B1L,NS
Waterworks Plumbing,902-371-2300,https://www.facebook.com/WaterworksPlumbingandHeating/,Sydney,B1L,NS
Stone Brothers Plumbing & Heating Ltd,902-562-6316,http://stonebros.ca/,Sydney,B1L,NS
Brian Jessome's Plumbing & Heating,902-565-2464,http://www.facebook.com/Brian-Jessomes-Plumbing-Heating-291508167885889,Sydney,B1R,NS
A B Mechanical,902-567-3897,http://www.abmechanical.ca/,Point Edward,B2A,NS
Transit Plumbing And Heating Ltd,902-564-9574,https://tateplumbing.ca/,Edwardsville,B2A,NS
Mahon's Mechanical Ltd,902-567-3877,,Sydney,B1S,NS
SOS Plumbing and Heating,902-577-2664,http://www.sosplumbingandheating.ca/,Sydney,B1S,NS
Thunderbird Plumbing and Heating,902-567-5483,http://www.facebook.com/thunderbird.plumbingandheating,Membertou,B1S,NS
J&D Electrical And Plumbing Limited,902-837-7133,,Weymouth,B0W,NS
MacLean Bros Plumbing & Heating Co Ltd,902-270-3498,,Sydney,B1P,NS
Rud-Dun Plumbing Heating & Ventilation (1992) Limited,902-562-0935,,Sydney,B1P,NS
Hillside Heating & Plumbing,902-577-1115,http://www.facebook.com/hillsideheatingandplumbing,Sydney Mines,B1V,NS
Bramac Plumbing & Heating,902-881-3211,http://www.bramac.ca/,Yarmouth,B5A,NS
JBM Plumbing & Heating Ltd,902-530-3755,http://jbmplumbingheatingltd.ca/,Bridgewater,B4V,NS
Lynk Mechanical,902-564-8140,http://www.lynkgroup.ca/,Sydney,B1P,NS
Quinlan John Plumbing&Heating Contractor,902-539-3449,,Sydney,B1P,NS
Alltrades Ltd.,902-270-8010,,Sydney,B1P,NS
At Ease Plumbing Ltd,902-577-6138,http://www.facebook.com/ateaseplumbing,Albert Bridge,B1K,NS
KWR Plumbing & Heating,902-746-9552,http://www.facebook.com/KWR-Plumbing-Heating-770255673117130/,Kemptville,B0W,NS
United Association Of Plumbers & Steamfitters Local 682,902-562-3753,http://www.ualocal682.ca/,Cape Breton,B1E,NS
Ike's Plumbing And Heating,902-979-4537,,Gardiner Mines,B1H,NS
First Choice Sewer Inspection & Drain Cleaning,902-565-4113,,Gardiner Mines,B1H,NS
First Choice Heating and Plumbing,902-202-8359,,Gardiner Mines,B1H,NS
Green Sewer Video Inspection & Drain Cleaning,902-304-5790,http://www.facebook.com/GREEN-SEWER-VIDEO-Inspection-and-drain-cleaning-1181075355272324/,Dominion,B1G,NS
Chimera Plumbing,902-842-4606,,Glace Bay,B1A,NS
Danny Boy's Plumbing & Mechanical,902-371-3023,,Glace Bay,B1A,NS
McNeil W J Plumbing & Heating,902-849-0592,,Glace Bay,B1A,NS
All Stars Plumbing & Heating,902-322-4041,http://asph.ca/,Glace Bay,B1A,NS
Plumbing And Heating All Stars,902-276-3600,,Glace Bay,B1A,NS
East Coast Mechanical Services,902-574-3404,https://eastcoastmechanicalservices.ca/,Glace Bay,B1A,NS
Del's Plumbing,902-769-7822,,Meteghan,B0W,NS
Big Jay's Plumbing & Heating,902-645-2039,,Meteghan,B0W,NS
Doug Henderson's Plumbing & Heating,902-897-0315,,Truro,B1B,NS
Acadian Plumbing & Heating & Electrical Ltd,902-648-2229,http://www.facebook.com/AcadianPlumbingHeatingElectricalLtd,Tusket,B0W,NS
Wyatt's Plumbing Ltd,902-637-1977,,Cape Sable,B0W,NS
MacDonells Small Jobs Ltd,902-575-2010,,Barrington Passage,B0W,NS
Tri-County Plumbing - Heating & Propane Services,902-307-5263,https://tricountyservices.ca/,Yarmouth,B5A,NS
Brian's Plumbing & Heating,902-778-1738,,Yarmouth,B5A,NS
BraMac Plumbing&Heating,902-881-3211,,Yarmouth,B5A,NS
EMCO Corporation,902-749-1947,http://emco.ca/,Yarmouth,B5A,NS
Jeff LeBlanc Plumbing,902-746-4644,,Arcadia,B5A,NS
Handyman Connection,902-468-9013,http://www.handymanconnection.ca/,Dartmouth,B3B,NS
Gilmour Plumbing,902-414-6406,,Shubenacadie,B0N,NS
Dimitris Plumbing and Heating Ltd,902-830-9005,http://www.facebook.com/1463055970663253,Halifax,B3H,NS
Armstrong H E Mechanical,902-765-2412,,Kingston,B0P,NS
Park Plumbing,902-266-5999,,Halifax,B3K,NS
Coopers Plumbing And Heating,902-802-4164,http://www.coopersplumbingheating.ca/,Dartmouth,B2X,NS
BaySide Plumbing,902-309-2415,,Tantallon,B0J,NS
New Generation Plumbing & Heating,902-817-1381,,Dartmouth,B2W,NS
New Generation Plumbing & Heating,902-444-0491,,Dartmouth,B2W,NS
Peters Plumbing,902-452-0135,,Halifax,B3M,NS
TYGAR,902-221-2292,,Halifax,B3K,NS
Slater Plumbing,902-977-2477,http://www.slaterplumbing.ca/,Truro,B2N,NS
Detect-All,902-452-7534,http://www.detectall.ca/,Halifax,B3L,NS
Blackburn Bennett,902-404-2393,http://www.blackburnbennett.com/,Dartmouth,B2W,NS
Sanicary Plumbing,902-478-4231,http://www.sanicaryplumbing.com/,Halifax,B3P,NS
Cumberland Plumbing,902-694-3075,,Amherst,B4H,NS
Diamond Plumbing,902-870-5301,,Antigonish,B2G,NS
MacLaughlin Mechanical,902-497-1696,https://www.facebook.com/MacLaughlinMech/,Halifax,B3S,NS
Drysdale Plumbing,902-293-7586,,Sackville,B4E,NS
Smith S,902-582-7220,,Canning,B0P,NS
Marcott Plumbing,902-928-8055,,New Glasgow,B2H,NS
AP Plumbing,902-404-5974,,Halifax,B3L,NS
Nolan Plumbing,902-489-5235,,Lewis Lake,B3Z,NS
Boutis Plumbing,902-830-8554,,Halifax,B3H,NS
Goodlife Plumbing,902-252-0436,,Beaver Bank,B4G,NS
Plumber Pipefitter,902-453-4615,,Halifax,B3K,NS
Munroes Plumbing,902-752-0069,,New Glasgow,B2H,NS
Simpson Installations,902-447-2038,,Oxford,B0M,NS
