name,BBB URL,Rating,phone,fsa,Address,website,city,province,Effiency NS
Mr Rooter Plumbing of Halifax,,,902-832-8000,B3T,,https://www.mrrooter.ca/halifax/,Prospect Bay,NS,
A.L.A. Plumb-Rite Ltd,,,902-690-7698,B4P,,http://alaplumb-rite.com/,White Rock,NS,
Bradsons Plumbing & Heating Ltd.,,,902-317-2900,B1Y,,https://www.facebook.com/Bradsons-Plumbing-and-Heating-Ltd-104446735602756/,Millville,NS,
Bremner's Plumbing & Heating,,,902-453-4800,B3S,,https://bremners.ca/,Halifax,NS,
AAA Plumbing & Heating,,,902-564-8841,B2A,,http://www.aaaplumbingheating.ca/,Edwardsville,NS,
"TNB Plumbing, Heating, Air Conditioning Ltd.",,,902-396-5439,B0K,,http://tnbplumbing.ca/,Westville,NS,
Arrow Plumbing & Heating,,,902-830-1487,B3M,,https://www.facebook.com/Arrow-Plumbing-Heating-154254125219269/,Halifax,NS,
True Flush Plumbing & Heating,,,902-692-1349,B0P,,http://www.trueflushplumbing.com/,Canning,NS,
Glasgow Plumbing and Heating,,,902-600-0794,B2H,,https://www.facebook.com/glasgowplumbingandheating,New Glasgow,NS,
Troy's Plumbing & Heating,,,902-670-1859,B4N,,https://www.facebook.com/TroysPlumbingAndHeating/,Kentville,NS,
W MacLean's Plumbing & Heating,,,902-272-8204,B0K,,,Hopewell,NS,
Blanchard R S Plumbing & Heating Ltd,,,902-757-2993,B0N,,http://rsblanchard.ca/,Ellershouse,NS,
Len's Plumbing & Heating,,,902-543-2353,B4V,,http://lensplumbingandheating.ca/,Bridgewater,NS,
Gary's Plumbing & Heating Ltd,,,902-830-7559,B0N,,http://garysplumbing.ca/,Mount Uniacke,NS,
MacLeod's Fuels - Plumbing & Heating,,,902-862-2721,B1H,,http://macleodsfuels.ca/,New Waterford,NS,
Ken Evans Plumbing & Heating Ltd,,,902-463-5691,B2Y,,https://www.kenevansplumbing.ca/,Dartmouth,NS,
John C MacKay Plumbing & Heating Ltd,,,902-895-8649,B0N,,,Truro,NS,
D & T Heating & Plumbing Ltd,,,902-890-0687,B0N,,,Brookfield,NS,
N.J. Armstrong Plumbing & Heating Ltd,,,902-277-0268,B0P,,,Kingston,NS,
Henderson J D Plumbing & Heating,,,902-895-3541,B6L,,,Salmon River,NS,
Brass-T Plumbing and Heating,,,902-986-3394,B2N,,http://brasstplumbing.ca/,Truro,NS,
Tradesmen Plumbing Heating & Ventilation,,,902-895-6563,B2N,,,Salmon River,NS,
Porter Mechanical Contractors,,,902-895-1087,B6L,,,Salmon River,NS,
Blenkhorn's Drain Cleaning & Property Services,,,902-890-4966,B2N,,,Truro,NS,
Brice?s Plumbing & Handyman Service?s,,,902-786-5595,B0N,,,Green Creek,NS,
MacKay John C Plumbing & Heating Ltd,,,902-895-8649,B0N,,https://www.facebook.com/pages/John-C-MacKay-Plumbing-Heating-Ltd/1679049739024830,Brookfield,NS,
BMC Contracting Ltd,,,902-899-5111,B2N,,,Truro,NS,
Brylee's Plumbing Services,,,902-956-3958,B2N,,,Truro,NS,
My Plumber,,,902-305-2671,B2N,,http://www.iamyourplumber.ca/,Truro,NS,
Fitz Plumbing Contractors Ltd,,,902-324-2237,B2N,,,Truro,NS,
EMCO Corporation,,,902-893-7434,B2N,,http://emco.ca/,Truro,NS,
Patton's Plumbing & Heating,,,902-893-3676,B6L,,,North River,NS,
Chris Boyd Plumbing Heating & Ventilation,,,902-890-5123,B6L,,http://chrisboydplumbing.ca/,Onslow Mountain,NS,
White's Plumbing&Heating,,,902-662-2035,B0M,,,Debert,NS,
Steady Flow Mechanical,,,902-225-2373,B0N,,https://www.facebook.com/plumbingheatingGasfitting.EastHants.HRM/,Shubenacadie,NS,
Archibald's Plumbing&Heating,,,902-662-4050,B0M,,,Lower Debert,NS,
Davies Plumbing & Heating,,,902-883-9078,B2S,,http://daviesplumbingandheating.ca/,Elmsdale,NS,
Davies Plumbing & Heating Ltd,,,902-883-9078,B2S,,https://www.facebook.com/DaviesPH/,Elmsdale,NS,
Scotia Plumbing,,,902-396-5800,B0K,,,Stellarton,NS,
Better Call Paul Plumbing Ltd,,,902-753-6388,B0K,,http://bettercallpaulns.ca/,Westville,NS,
Frank Parkers Plumbing Heating,,,902-396-4064,B0K,,,Westville,NS,
Marcott Plumbing & Heating,,,902-695-2558,B0K,,http://marcottplumbingandheating.ca/,Westville,NS,
Gordon Black Plumbing & Heating,,,902-657-8988,B0K,,,Tatamagouche,NS,
TNB Plumbing,,,902-396-5439,B0K,,,New Glasgow,NS,
Al's Plumbing & Heating,,,902-759-5668,B2H,,,New Glasgow,NS,
Lila's Plumbing & Odd Jobs,,,902-759-4650,B2H,,,New Glasgow,NS,
EMCO Corporation,,,902-752-2547,B2H,,http://emco.ca/,New Glasgow,NS,
Those Guys Plumbing & Electrical Ltd.,,,902-301-3036,B2H,,https://www.facebook.com/ThoseGuysPE/,New Glasgow,NS,
North Shore Plumbing,,,902-957-2764,B0K,,http://nsplumbing.ca/,Tatamagouche,NS,
North Nova Construction,,,902-755-3308,B2H,,,New Glasgow,NS,
Ross Macdonald Plumbing & Burner Services,,,902-695-3002,B2H,,http://www.rmacdonald-plumbing.com/,New Glasgow,NS,
Ross Macdonald Plumbing & Burner Service Ltd,,,902-695-3002,B2H,,http://www.rmacdonald-plumbing.com/,New Glasgow,NS,
Hoetten Rolph Plumbing & Heating,,,902-657-3943,B0K,,,Tatamagouche,NS,
Maverick Plumbing Services,,,902-301-1485,B2H,,,New Glasgow,NS,
Halverson Plumbing & Heating,,,902-657-2025,B0K,,,Tatamagouche,NS,
Solstice Plumbing & Maintenance,,,902-921-0921,B2H,,,New Glasgow,NS,
Utma Hps,,,902-456-9122,B0J,,,East Chezzetcook,NS,
Gordon H Chapman Plbg & Htg,,,902-485-6988,B0K,,,Pictou,NS,
Mike Chapman Heating & Plumbing Inc,,,902-382-2125,B0K,,,Lyons Brook,NS,
Pettipas Plumbing & Septic Tank Pumping Services,,,902-827-3366,B0J,,,East Chezzetcook,NS,
Lee Castle's Plumbing & Heating,,,902-860-1640,B2T,,http://www.leecastleplumbingltd.com/,Fletchers Lake,NS,
Eternity Mechanical,,,902-890-1791,B0K,,http://www.facebook.com/EternityMech/,River John,NS,
Homerun Plumbing & Renovations,,,782-640-2222,B4G,,,Beaver Bank,NS,
Holloway's Plumbing & Heating,,,782-414-1810,B4G,,,Beaver Bank,NS,
Doucets Plumbing & Heating Services,,,902-818-8494,B0N,,,Mount Uniacke,NS,
"Tony Rhynold Electrical, Plumbing And Heating Lt d.",,,902-866-0077,B0N,,,Mount Uniacke,NS,
AMT Plumbing & Heating Ltd,,,902-209-2308,B4G,,http://amtplumbing.ca/,Beaver Bank,NS,
A&L Plumbing & Heating Inc.,,,902-456-2653,B2Z,,http://www.facebook.com/855969397847377,Mineville,NS,
ACL Plumbing & Heating Ltd.,,,902-252-3777,B4G,,http://www.facebook.com/202972746754115,Beaver Bank,NS,
Willis Plumbing & Heating,,,902-434-9690,B2Z,,http://www.facebook.com/197037234011953,Cherry Brook,NS,
Dufferin Mechanical,,,902-654-2920,B0J,,http://www.facebook.com/DufferinMechanicalLimited/info?ref=page_internal,Port Dufferin,NS,
"Tony Rhynold Electrical, Plumbing and Heating",,,782-640-5710,B4C,,http://tonyrhynold.com/,Lower Sackville,NS,
Wilsons Home Heating,,,902-429-4545,B4C,,http://homeheating.wilsons.ca/,Lower Sackville,NS,
Celtic Plumbing & Heating,,,902-471-0406,B4C,,http://celticplumbingandheating.ca/,Lower Sackville,NS,
Drain Busters,,,902-701-5298,B4C,,,Lower Sackville,NS,
Scotia Tech Fluid Services Ltd,,,902-706-7274,B3B,,http://www.census.com/,Dartmouth,NS,
Clean Connections Plumbing/Heating,,,902-877-3616,B2X,,,Dartmouth,NS,
Tattrie's Plumbing,,,902-802-4670,B4E,,,Lower Sackville,NS,
Thomas Martin Construction Ltd.,,,902-442-5811,B4C,,https://tmconstructionltd.ca,Lower Sackville,NS,
Dcn Plumbing & Construction,,,902-497-8662,B2W,,,Dartmouth,NS,
Twin Cities Plumbing & Htg Ltd,,,902-435-3399,B2X,,http://www.facebook.com/855412001252778,Dartmouth,NS,
Permanent Results Plumbing & Heating Limited,,,902-452-5531,B4E,,,Lower Sackville,NS,
"Bird Stairs (Dartmouth) - Plumbing, Heating & El ectrical",,,902-465-2473,B3B,,,Dartmouth,NS,
Cornell Video Inspection & Pipe Lining,,,902-499-2310,B4E,,http://www.whydig.com/,Middle Sackville,NS,
Anchor Plumbing & Heating,,,902-864-0063,B4E,,http://www.facebook.com/784650378345641,Middle Sackville,NS,
Western Plumbing & Heating,,,902-468-2437,B3B,,http://www.facebook.com/1519439035030894,Dartmouth,NS,
Austin Lapierre Plumbing&Heating,,,902-865-2726,B4C,,,Lower Sackville,NS,
Eastern Plumbing & Heating Ltd,,,902-434-3878,B2X,,http://easternplumbingandheating.com/,Dartmouth,NS,
JB's Plumbing And Heating,,,902-252-3444,B4E,,http://www.facebook.com/466590840210690,Sackville,NS,
Action Plumbing&Heating,,,902-865-6143,B4E,,http://www.facebook.com/1729708017307172,Middle Sackville,NS,
Partington Sales,,,902-463-1758,B2V,,http://partingtonsales.com/,Dartmouth,NS,
Halifax Plumbing and Heating,,,902-880-5748,B3B,,https://www.halifaxplumbingandheating.ca/,Dartmouth,NS,
Atlantic Backflow Specialists Ltd,,,902-499-7745,B2W,,http://www.atlanticbackflow.com/,Dartmouth,NS,
Total Plumbing Inc,,,902-440-1561,B3B,,http://www.facebook.com/1749213858648644,Halifax,NS,
McNair Bros Plumbing&Heating Ltd,,,902-835-4576,B4A,,http://www.facebook.com/947759285336911,Bedford,NS,
Reliable Rooter,,,902-864-0393,B3B,,http://www.plumbingandheatinghalifax.ca/,Dartmouth,NS,
Al's Flat Rate Plumbing,,,902-414-3636,B3L,,,Halifax,NS,
Gophers Plumbing,,,902-880-0756,B2W,,https://www.gphhalifax.ca/,Dartmouth,NS,
Gopher Plumbing & Hydronic Heating,,,902-880-0756,B2W,,,Dartmouth,NS,
EMCO Corporation,,,902-468-4507,B3B,,http://emco.ca/,Halifax,NS,
Parker Plumbing & Heating Ltd,,,902-435-3999,B3B,,http://parkerplumbing.ca/,Dartmouth,NS,
W J Power Plumbing & Heating,,,902-463-0535,B3B,,,Dartmouth,NS,
EMCO Corporation,,,902-453-4410,B3B,,http://emco.ca/,Halifax,NS,
Integrated Commissioning and Certification,,,902-406-8398,B2Y,,,Dartmouth,NS,
Mister Hot Water Heater,,,902-802-0170,B2W,,http://www.misterhotwaterheater.ca/,Dartmouth,NS,
Blackburn Bennett Plumbing & Heating Inc,,,902-877-0850,B2W,,http://blackburnbennett.com/,Dartmouth,NS,
ADT Security Services,,,902-982-1502,B3B,,,Dartmouth,NS,
Pentz Contracting,,,902-210-9567,B3A,,http://www.facebook.com/199514073889993,Dartmouth,NS,
Plumbing Barn,,,902-466-6664,B2Y,,,Dartmouth,NS,
Dartmouth Plumbers Ltd,,,902-469-4089,B2Y,,http://www.facebook.com/221723931702034,Dartmouth,NS,
Lindsay's Plumbing & Heating,,,902-823-2602,B3A,,,French Village,NS,
Kdr Plumbing - Kevin Rendell,,,902-222-4337,B2Y,,,Dartmouth,NS,
East Coast Plumbing & Heating Ltd,,,902-463-3808,B2Y,,http://www.facebook.com/221261601573827,Dartmouth,NS,
H2O Plumbing,,,902-404-3898,B4B,,,Bedford,NS,
Uniplex Plumbing & Renovation Ltd.,,,902-403-5214,B3A,,https://uniplexrenovation.com/,Dartmouth,NS,
Macintosh Mechanical Plumbing Services,,,902-292-4378,B3M,,,Halifax,NS,
All Clear Drain Svc,,,902-455-3500,B3K,,http://www.facebook.com/1176873692363181,Halifax,NS,
Tanner Supply,,,902-454-8541,B3K,,http://www.facebook.com/134216497359431,Halifax,NS,
Doctor Drain,,,902-488-2208,B3L,,http://www.facebook.com/167839147156707,Halifax,NS,
Alpha Plumbing & Heating Ltd,,,902-830-5914,B2W,,http://www.alphaplumbing.ca/,Dartmouth,NS,
A J Murphy Plumbing & Heating,,,902-469-3663,B3A,,http://www.ajmurphy.ca/,Halifax,NS,
Ace Plumbing & Heating Ltd,,,902-479-1516,B3K,,,Halifax,NS,
The Plumber MD,,,902-233-9665,B3K,,,Halifax,NS,
Daniel Landry,,,902-452-3563,B3P,,,Halifax,NS,
B.E Plumbing Services,,,902-240-5206,B3L,,,Halifax,NS,
Dartmouth Central Plumbing & Heating,,,902-465-6057,B0J,,,Eastern Passage,NS,
EMCO Corporation,,,902-453-8144,B3K,,http://emco.ca/,Halifax,NS,
T O Plumbing & Heating Ltd,,,902-456-0070,B4B,,http://www.facebook.com/108170699819472,Halifax,NS,
Halifax Plumbing Pros,,,902-201-0585,B3H,,,Halifax,NS,
Harbour City Plumbing and Renovations,,,902-789-3108,B3H,,https://hcpr.ca/,Halifax,NS,
Halifax Plumbing Experts,,,902-706-8416,B3H,,,Halifax,NS,
Trevor Wheatley's Plumbing & Heating ltd,,,902-830-2868,B3L,,,Halifax,NS,
In Fluid Products Canada,,,902-421-7522,B3L,,,Halifax,NS,
AquaTech Plumbing Halifax Emergency Plumber,,,1-888-855-1582,B3L,,http://AquaTechPlumbingHalifaxEmergencyPlumber.shop/,Halifax,NS,
Kirk Heating Limited,,,902-405-3050,B4B,,https://kirkheatinglimited.ca/,Bedford,NS,
Accord Pipe Lining Plumbing Services,,,647-545-7474,B3M,,,Halifax,NS,
"Plumb Line Osteopathy , Kara Muhlhausen",,,519-766-3951,B4B,,,Hammonds Plains,NS,
Main Drain Plumbing And Heating,,,902-320-0422,B3M,,,Halifax,NS,
Blanchard R S Plumbing&Heating Ltd,,,902-757-2993,B0N,,,Windsor,NS,
Pace Plumbing & Heating Ltd,,,902-477-4633,B3P,,https://paceplumbing.ca/,Halifax,NS,
Nolan Plumbing & Heating,,,902-489-5325,B3Z,,http://www.nolanplumbing.ca/,Lewis Lake,NS,
MacDonald C C Limited,,,902-450-5184,B3S,,http://www.facebook.com/935965686516753,Halifax,NS,
JRK Plumbing,,,902-329-5065,B3R,,http://krjplumbing.ca/,Halifax,NS,
DC Heat & Maintenance Ltd,,,902-407-4328,B3R,,http://www.dcheat.ca/,Halifax,NS,
902 Plumbing & Heating,,,902-449-7287,B3T,,https://www.902plumbing.pro/,Timberlea,NS,
Clean Flo Plumbing & Heating Ltd,,,902-405-8829,B3T,,http://www.cleanflohalifax.ca/,Timberlea,NS,
Bear Mechanical Plumbing & Heating,,,902-229-8877,B3R,,http://WWW.BEARMECHANICAL.CA/,Herring Cove,NS,
Archangel Plumbing & Heating,,,902-448-1123,B3P,,,Halifax,NS,
Tantallon Plumbing & Heating,,,902-880-9555,B3Z,,http://www.facebook.com/854742067981397,Halifax,NS,
JEILD Plumbing Limited,,,902-412-6827,B3Z,,,Upper Tantallon,NS,
Eric J Dodge Plumbing Services,,,902-526-0828,B0S,,https://www.facebook.com/Eric-J-Dodge-Plumbing-Services-100454358759562/,Middleton,NS,
Reynolds Plumbing & Heating Ltd,,,902-798-5879,B0P,,,Windsor,NS,
Donald's Burner & Plumbing Services Ltd,,,902-684-3525,B0P,,,Falmouth,NS,
M C Plumbing And Heating,,,902-499-6744,B0P,,,Falmouth,NS,
Robars' Tri-Service Ltd,,,902-522-2766,B0J,,,Sherbrooke,NS,
Suburban,,,902-471-3140,B3Z,,http://www.facebook.com/258334767835882,Tantallon,NS,
"Avonport Plumbing, Heating and Electrical Ltd",,,902-300-0289,B0P,,,Avonport,NS,
Parker R J Mechanical,,,902-852-2317,B3T,,,Halifax,NS,
Anaconda Plumbing,,,902-790-9030,B0P,,http://anacondaplumbing.ca/,Falmouth,NS,
Tidal Mechanical Ltd,,,902-852-2690,B3T,,http://www.facebook.com/528918400819763,Whites Lake,NS,
Tidal Mechanical Plumbing & Heating Services Ltd,,,902-789-0639,B3T,,http://www.facebook.com/tidalmechanical/,White Lake,NS,
Hardy Plumbing & Gas,,,902-580-1105,B3M,,,Halifax,NS,
Luke's Plumbing and Heating Services,,,902-679-7947,B0P,,,Grand Pre,NS,
CA Smith Mechanical Ltd,,,902-863-4096,B2G,,http://casmithmechanical.com/,Antigonish,NS,
Mr. Rooter Plumbing of Halifax,,,902-332-3410,B3T,,https://www.mrrooter.ca/halifax/request-job-estimate/,Prospect Bay,NS,
Haley J L Plumbing & Heating Ltd,,,902-863-4849,B2G,,,Antigonish,NS,
Euro Plumbing & Heating,,,902-402-0776,B3T,,http://www.facebook.com/137871613544079,Lower Prospect,NS,
Brown & Smith Contractors Ltd,,,902-670-1725,B4P,,,Wolfville,NS,
Annapolis Valley Plumbing & Heating Limited,,,902-680-5506,B4P,,,Wolfville,NS,
Bill's Plumbing & Heating Service,,,902-697-2720,B4P,,,Greenwich,NS,
Malcolm Stevens Plumbing and Heating,,,902-670-3723,B4N,,,New Minas,NS,
A L A Plumb-Rite,,,902-542-2094,B4P,,,Wolfville,NS,
U A Local 244 Plumbers Pipe-Fitters & Welders,,,902-386-2551,B0H,,,Heatherton,NS,
Chapman George B Plumbing & Heating,,,902-667-8636,B4H,,,Amherst,NS,
Wade Murphy Plumbing,,,902-318-5232,B0H,,http://wademurphyplumbing.ca/,Heatherton,NS,
David Carey Plumbing & Heating,,,902-680-1293,B4N,,,Kentville,NS,
Martell Mechanical,,,902-300-3133,B4P,,,Wolfville,NS,
Absolute Plumbing & Heating,,,902-679-8682,B4N,,,Kentville,NS,
Valley Burner Service,,,902-678-9422,B0P,,http://www.valleyburnerservice.com/,Kingston,NS,
Keith Pulsifer's Plumbing & Heating,,,902-670-3220,B4N,,,Kentville,NS,
Response Plumber,,,902-698-1188,B0P,,https://www.responseplumber.ca/,Port Williams,NS,
Ron Martin's Plumbing Heating & Electrical,,,902-679-1954,B4N,,http://www.ronmartinsplumbing.com/,Kentville,NS,
Willow Renovations,,,902-681-6149,B4N,,,Kentville,NS,
Kings Plumbing & Heating,,,902-680-5532,B0P,,,Cambridge,NS,
GC Baxter Plumbing & Heating,,,902-538-3763,B0P,,,Cambridge Station,NS,
K P's Plumbing & Heating,,,902-698-0352,B0P,,,Berwick,NS,
Carty's Plumbing & Heating Ltd,,,902-538-8563,B0P,,,Waterville,NS,
Baker Dave Plumbing & Heating,,,902-538-7425,B0P,,,Berwick,NS,
Toshi Imai Plumbing And Heating Ltd,,,902-293-5071,B3L,,,Halifax,NS,
Dale Smith's Plumbing & Heating,,,902-680-1393,B0P,,,Kentville,NS,
Jordan's Plumbing & Heating,,,902-538-7646,B0P,,http://www.oiltankinstallers.ca/,Berwick,NS,
Jason T. Greek Plumbing & Heating,,,902-298-9543,B0R,,http://www.facebook.com/jasongreeksplumbing,Barss Corner,NS,
No Problem Plumbing & Electrical,,,902-624-8348,B0J,,,Mahone Bay,NS,
Conrads Pro Plumbing Heating Ltd,,,902-543-6652,B4V,,,Pine Grove,NS,
Langille's Plumbing & Heating Ltd,,,902-543-4897,B4V,,http://www.langilles.com/,Bridgewater,NS,
Mr Plumber,,,902-543-1314,B4V,,http://mrplumber.ca/,Bridgewater,NS,
Economical Plumbing Repairs,,,902-530-5888,B4V,,,Bridgewater,NS,
Rafuse G A Plumbing & Heating,,,902-527-8145,B4V,,http://garafuseplumbingandheating.ca/,Bridgewater,NS,
Langille's Peter Plumbing & Heating Ltd,,,902-527-2251,B4V,,http://peterlangilleplumbingheating.vpweb.com/,Auburndale,NS,
Tapped In Plumbing & Heating,,,902-299-5294,B0R,,,New Germany,NS,
Rafuse Mechanical,,,902-765-2712,B0P,,https://rafusemechanical.com/,Meadowvale,NS,
Mike Hoogerwerf Plumbing & Heating,,,902-825-3607,B0S,,,East Margaretsville,NS,
David Baker Plumbing & Heating,,,902-760-1109,B0P,,,Wilmot Station,NS,
Marshall Wayne Plumbing & Heating Ltd,,,902-825-4371,B0S,,,Middleton,NS,
Kevin Bushen Plumbing & Heating,,,902-530-2629,B4V,,http://www.bushenplumbingandheating.com/,Italy Cross,NS,
Scott Parks Plumbing Services,,,902-824-0183,B0S,,,Middleton,NS,
Brian Bollivar Plumbing & Heating,,,902-523-4985,B4V,,http://www.brianbollivar.com/,Middlewood,NS,
Landry Brothers Home Hardware,,,902-345-2720,B0E,,https://homehardware.ca/,Louisdale,NS,
Cole Cleveland?s Plumbing,,,902-930-3833,B4V,,,Bridgewater,NS,
Sully Plumbing & Heating Ltd,,,902-226-0280,B0E,,,Arichat,NS,
Samsons Plumbing Heating Ltd,,,902-227-7761,B0E,,,Arichat,NS,
LMD Plumbing,,,902-665-2382,B0S,,,Bridgetown,NS,
Bird Fred N Water & Sewerage Supply,,,902-756-3030,B0E,,,Whycocomagh,NS,
Tate Plumbing & Heating - Cape Breton,,,902-615-3266,B1V,,,Sydney Mines,NS,
Plumber & Backflow Prevention Specialist,,,902-350-6666,B0T,,https://www.facebook.com/PlumberBackflowPreventionSpecialistFrankRTielsch/,Liverpool,NS,
Plumbing & Backflow Prevention Specialist Inc,,,902-350-6666,B0T,,,Liverpool,NS,
Backflow Prevention and Plumber,,,902-350-6666,B0T,,,Liverpool,NS,
Parker Mountain Welding & Plumbing,,,902-526-0176,B0S,,,Granville Ferry,NS,
River's Edge Plumbing,,,902-295-8424,B0E,,,Baddeck,NS,
Am Plumbing,,,902-312-2021,B0S,,,Clementsport,NS,
Fougere's Plumbing & Heating,,,902-224-2020,B0E,,,Cheticamp,NS,
Able Mechanical,,,902-247-5669,B0V,,,Digby,NS,
Bell's Plumbing & Heating Services,,,902-574-3590,B1K,,,Grand Mira North,NS,
Corsair Plumbing And Gas Ltd.,,,902-500-1115,B1J,,,East Bay,NS,
Hillside Heating and Plumbing,,,902-544-1316,B1Y,,,Hillside Boularderie,NS,
Hemeon's Plumbing,,,902-875-1635,B0T,,,Shelburne,NS,
Precision Plumbing & Heating Ltd,,,902-578-0717,B1R,,,Sydney,NS,
Donovan & Associates Plumbing & Heating Ltd,,,902-317-2313,B1L,,http://www.facebook.com/donovanplumbingheating,Sydney,NS,
Waterworks Plumbing,,,902-371-2300,B1L,,https://www.facebook.com/WaterworksPlumbingandHeating/,Sydney,NS,
Stone Brothers Plumbing & Heating Ltd,,,902-562-6316,B1L,,http://stonebros.ca/,Sydney,NS,
Brian Jessome's Plumbing & Heating,,,902-565-2464,B1R,,http://www.facebook.com/Brian-Jessomes-Plumbing-Heating-291508167885889,Sydney,NS,
A B Mechanical,,,902-567-3897,B2A,,http://www.abmechanical.ca/,Point Edward,NS,
Transit Plumbing And Heating Ltd,,,902-564-9574,B2A,,https://tateplumbing.ca/,Edwardsville,NS,
Mahon's Mechanical Ltd,,,902-567-3877,B1S,,,Sydney,NS,
SOS Plumbing and Heating,,,902-577-2664,B1S,,http://www.sosplumbingandheating.ca/,Sydney,NS,
Thunderbird Plumbing and Heating,,,902-567-5483,B1S,,http://www.facebook.com/thunderbird.plumbingandheating,Membertou,NS,
J&D Electrical And Plumbing Limited,,,902-837-7133,B0W,,,Weymouth,NS,
MacLean Bros Plumbing & Heating Co Ltd,,,902-270-3498,B1P,,,Sydney,NS,
Rud-Dun Plumbing Heating & Ventilation (1992) Limited,,,902-562-0935,B1P,,,Sydney,NS,
Hillside Heating & Plumbing,,,902-577-1115,B1V,,http://www.facebook.com/hillsideheatingandplumbing,Sydney Mines,NS,
Bramac Plumbing & Heating,,,902-881-3211,B5A,,http://www.bramac.ca/,Yarmouth,NS,
JBM Plumbing & Heating Ltd,,,902-530-3755,B4V,,http://jbmplumbingheatingltd.ca/,Bridgewater,NS,
Lynk Mechanical,,,902-564-8140,B1P,,http://www.lynkgroup.ca/,Sydney,NS,
Quinlan John Plumbing&Heating Contractor,,,902-539-3449,B1P,,,Sydney,NS,
Alltrades Ltd.,,,902-270-8010,B1P,,,Sydney,NS,
At Ease Plumbing Ltd,,,902-577-6138,B1K,,http://www.facebook.com/ateaseplumbing,Albert Bridge,NS,
KWR Plumbing & Heating,,,902-746-9552,B0W,,http://www.facebook.com/KWR-Plumbing-Heating-770255673117130/,Kemptville,NS,
United Association Of Plumbers & Steamfitters Local 682,,,902-562-3753,B1E,,http://www.ualocal682.ca/,Cape Breton,NS,
Ike's Plumbing And Heating,,,902-979-4537,B1H,,,Gardiner Mines,NS,
First Choice Sewer Inspection & Drain Cleaning,,,902-565-4113,B1H,,,Gardiner Mines,NS,
First Choice Heating and Plumbing,,,902-202-8359,B1H,,,Gardiner Mines,NS,
Green Sewer Video Inspection & Drain Cleaning,,,902-304-5790,B1G,,http://www.facebook.com/GREEN-SEWER-VIDEO-Inspection-and-drain-cleaning-1181075355272324/,Dominion,NS,
Chimera Plumbing,,,902-842-4606,B1A,,,Glace Bay,NS,
Danny Boy's Plumbing & Mechanical,,,902-371-3023,B1A,,,Glace Bay,NS,
McNeil W J Plumbing & Heating,,,902-849-0592,B1A,,,Glace Bay,NS,
All Stars Plumbing & Heating,,,902-322-4041,B1A,,http://asph.ca/,Glace Bay,NS,
Plumbing And Heating All Stars,,,902-276-3600,B1A,,,Glace Bay,NS,
East Coast Mechanical Services,,,902-574-3404,B1A,,https://eastcoastmechanicalservices.ca/,Glace Bay,NS,
Del's Plumbing,,,902-769-7822,B0W,,,Meteghan,NS,
Big Jay's Plumbing & Heating,,,902-645-2039,B0W,,,Meteghan,NS,
Doug Henderson's Plumbing & Heating,,,902-897-0315,B1B,,,Truro,NS,
Acadian Plumbing & Heating & Electrical Ltd,,,902-648-2229,B0W,,http://www.facebook.com/AcadianPlumbingHeatingElectricalLtd,Tusket,NS,
Wyatt's Plumbing Ltd,,,902-637-1977,B0W,,,Cape Sable,NS,
MacDonells Small Jobs Ltd,,,902-575-2010,B0W,,,Barrington Passage,NS,
Tri-County Plumbing - Heating & Propane Services,,,902-307-5263,B5A,,https://tricountyservices.ca/,Yarmouth,NS,
