"listing__logo--link href","jsMerchantLogo src","listing__name--link","listing__name--link href","listing__title--wrap href","listing__address--full","jsMapBubbleAddress","jsMapBubbleAddress 2","jsMapBubbleAddress 3","jsMapBubbleAddress 4","listing__direction","listing__direction href","jsPreventBubbleMobile","jsPreventBubbleMobile href","merchant__status-text","merchant__status-text href","mlr__submenu__item","mlr__item__cta href 2","serpMessage 2","mlr__item__cta href 3","serpMessage 3","ypModal href","serpMessage 4","serpMessage 5"
"https://www.yellowpages.ca/bus/Nova-Scotia/Truro/C-J-Brothers-Plumbing-Heating-VentilationInc/8237755.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","C & J Brothers Plumbing Heating & VentilationInc","https://www.yellowpages.ca/bus/Nova-Scotia/Truro/C-J-Brothers-Plumbing-Heating-VentilationInc/8237755.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Truro/C-J-Brothers-Plumbing-Heating-VentilationInc/8237755.html",", ,","334 Queen St","Truro","NS","B2N 2C3","Get directions","https://www.yellowpages.ca/merchant/directions/8237755/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open 24 hours","https://www.yellowpages.ca/bus/Nova-Scotia/Truro/C-J-Brothers-Plumbing-Heating-VentilationInc/8237755.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-920-0239","https://www.yellowpages.ca/merchant/directions/8237755/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/838e54c4a5b16497002a5d1bf2a5ec5638d673ec?redirect=http%3A%2F%2Fwww.candjbrothersplumbing.ca%2F","Website","","","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Windsor-Junction/Nauffts-Plumbing-Heating/102435615.html?what=plumber&where=Nova+Scotia+NS&useContext=true","","Nauffts Plumbing & Heating","https://www.yellowpages.ca/bus/Nova-Scotia/Windsor-Junction/Nauffts-Plumbing-Heating/102435615.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Windsor-Junction/Nauffts-Plumbing-Heating/102435615.html",", ,","19 Charleswood Dr","Windsor Junction","NS","B2T 1G3","Get directions","https://www.yellowpages.ca/merchant/directions/102435615/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Windsor-Junction/Nauffts-Plumbing-Heating/102435615.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-982-3593","https://www.yellowpages.ca/merchant/directions/102435615/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/c437b963b1e7ecf6bc034d0d5f694eecfbe0e566?redirect=https%3A%2F%2Fwww.facebook.com%2FNauffts-Plumbing-Heating-117235130062909%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Colby-Forest-Hills-Plumbing-Heating-Ltd/3287415.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","Colby & Forest Hills Plumbing & Heating Ltd","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Colby-Forest-Hills-Plumbing-Heating-Ltd/3287415.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Colby-Forest-Hills-Plumbing-Heating-Ltd/3287415.html",", ,","58 Caldwell Rd","Dartmouth","NS","B2V 1L8","Get directions","https://www.yellowpages.ca/merchant/directions/3287415/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  4:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Colby-Forest-Hills-Plumbing-Heating-Ltd/3287415.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-705-3079","https://www.yellowpages.ca/merchant/directions/3287415/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","","","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Truro/Kelsy-s-Plumbing-Heating-Ventilation/2351369.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","Kelsy's Plumbing Heating & Ventilation","https://www.yellowpages.ca/bus/Nova-Scotia/Truro/Kelsy-s-Plumbing-Heating-Ventilation/2351369.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Truro/Kelsy-s-Plumbing-Heating-Ventilation/2351369.html",", ,","175 Glenwood Dr","Truro","NS","B2N 1P5","Get directions","https://www.yellowpages.ca/merchant/directions/2351369/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open 24 hours","https://www.yellowpages.ca/bus/Nova-Scotia/Truro/Kelsy-s-Plumbing-Heating-Ventilation/2351369.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","1-866-804-2521","https://www.yellowpages.ca/merchant/directions/2351369/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/3ff15238ee057a87f99ba65ea232ff1a960e3401?redirect=http%3A%2F%2Fkelsysplumbing.ca%2F","Website","","","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Drain-Surgeons/100546570.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","Drain Surgeons","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Drain-Surgeons/100546570.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Drain-Surgeons/100546570.html",", ,","96 Saint Clair Avenue","Dartmouth","NS","B2X 0B3","Get directions","https://www.yellowpages.ca/merchant/directions/100546570/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/Drain-Surgeons/100546570.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-704-5152","https://www.yellowpages.ca/merchant/directions/100546570/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","","","","","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/City-Wide-Mechanical-Inc/104476063.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","City Wide Mechanical Inc","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/City-Wide-Mechanical-Inc/104476063.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/City-Wide-Mechanical-Inc/104476063.html",", ,","63 Clermont Cres","Dartmouth","NS","B2W 4N9","Get directions","https://www.yellowpages.ca/merchant/directions/104476063/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  4:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Dartmouth/City-Wide-Mechanical-Inc/104476063.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-817-8888","https://www.yellowpages.ca/merchant/directions/104476063/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/044c148441296a768f364306e319521d4b36299f?redirect=https%3A%2F%2Fcitywidemechanical.ca%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Prospect-Bay/Mr-Rooter-Plumbing-of-Halifax/104425453.html?what=plumber&where=Nova+Scotia+NS&useContext=true","","Mr Rooter Plumbing of Halifax","https://www.yellowpages.ca/bus/Nova-Scotia/Prospect-Bay/Mr-Rooter-Plumbing-of-Halifax/104425453.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Prospect-Bay/Mr-Rooter-Plumbing-of-Halifax/104425453.html",", ,","68 Rosalie Ave","Prospect Bay","NS","B3T 1Z8","Get directions","https://www.yellowpages.ca/merchant/directions/104425453/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Prospect-Bay/Mr-Rooter-Plumbing-of-Halifax/104425453.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-832-8000","https://www.yellowpages.ca/merchant/directions/104425453/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","","","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/White-Rock/A-L-A-Plumb-Rite-Ltd/100234324.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","A.L.A. Plumb-Rite Ltd","https://www.yellowpages.ca/bus/Nova-Scotia/White-Rock/A-L-A-Plumb-Rite-Ltd/100234324.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/White-Rock/A-L-A-Plumb-Rite-Ltd/100234324.html",", ,","269 Schofield Rd","White Rock","NS","B4P 2R2","Get directions","https://www.yellowpages.ca/merchant/directions/100234324/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/White-Rock/A-L-A-Plumb-Rite-Ltd/100234324.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-690-7698","https://www.yellowpages.ca/merchant/directions/100234324/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","","","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Millville/Bradsons-Plumbing-Heating-Ltd/102818850.html?what=plumber&where=Nova+Scotia+NS&useContext=true","","Bradsons Plumbing & Heating Ltd.","https://www.yellowpages.ca/bus/Nova-Scotia/Millville/Bradsons-Plumbing-Heating-Ltd/102818850.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Millville/Bradsons-Plumbing-Heating-Ltd/102818850.html",", ,","171 King Grove Rd","Millville","NS","B1Y 2E4","Get directions","https://www.yellowpages.ca/merchant/directions/102818850/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Millville/Bradsons-Plumbing-Heating-Ltd/102818850.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-317-2900","https://www.yellowpages.ca/merchant/directions/102818850/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/735a9794bcb7637a9069fe6fca8763fc8e94aa21?redirect=https%3A%2F%2Fwww.facebook.com%2FBradsons-Plumbing-and-Heating-Ltd-104446735602756%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Halifax/Bremner-s-Plumbing-Heating/2137994.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","","Bremner's Plumbing & Heating","https://www.yellowpages.ca/bus/Nova-Scotia/Halifax/Bremner-s-Plumbing-Heating/2137994.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Halifax/Bremner-s-Plumbing-Heating/2137994.html",", ,","40 Ash Lake Court","Halifax","NS","B3S 1B7","Get directions","https://www.yellowpages.ca/merchant/directions/2137994/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  4:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Halifax/Bremner-s-Plumbing-Heating/2137994.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-453-4800","https://www.yellowpages.ca/merchant/directions/2137994/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/27e01058e7e8cad2c4fe4fb457df0d0124441391?redirect=https%3A%2F%2Fbremners.ca%2F","Website","","","Search nearby"
