"text-primary-medium-blue href","text-primary-medium-blue","bds-body","dtm-search-listing-seal src","seal-trademark","result-rating","text-size-7","bds-h5","service-area-list","service-area-list 2","responsive-img src","text-black","text-black href","bds-body 2","bbb__hideAt-smDown","bds-body 3","bds-cta","bds-cta href"
"https://www.bbb.org/ca/ns/dartmouth/profile/general-contractor/jim-kimber-construction-0087-37958","Jim Kimber Construction","General Contractor, Plumber, Painting Contractors ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","Halifax, NS","NS","https://m.bbb.org/prod/ProfileImages/8d03b4c2-d924-4855-b12f-d98be0f94983.png?tx=w_80","(902) 468-8413","tel:+1-902-468-8413","21 Williams Ave, Unit 201 Dartmouth, NS",",","B3B 1X3","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-jim-kimber-construction-37958"
"https://www.bbb.org/ca/ns/dartmouth/profile/plumbing-and-heating/gopher-plumbing-hydronic-heating-inc-0087-90005","Gopher Plumbing & Hydronic Heating Inc.","Plumbing and Heating, Plumber, Plumbing Renovation ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A","Service Area","Serving the following areas:","Halifax County,  NS","NS","https://m.bbb.org/prod/ProfileImages/2025/a2457dea-d0d0-4794-b775-998fef6ac16d.png?tx=w_80","(902) 880-0756","tel:+1-902-880-0756","Dartmouth, NS","","B2W 1R7","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-gopher-plumbing-hydronic-heating-inc-90005"
"https://www.bbb.org/ca/ns/dartmouth/profile/plumbing-and-heating/roski-mechanical-0087-90465","Roski Mechanical","Plumbing and Heating, Plumber, Heating and Air Conditioning ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A","Service Area","Serving the following areas:","Halifax, NS","NS","https://m.bbb.org/prod/ProfileImages/2025/3782fc82-5216-4756-a2b0-6622725d87d7.jpg?tx=w_80","(902) 333-7167","tel:+1-902-333-7167","Dartmouth, NS","","B2X 3T7","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-roski-mechanical-90465"
"https://www.bbb.org/ca/ns/dartmouth/profile/plumber/ken-evans-plumbing-heating-ltd-0087-909","Ken Evans Plumbing & Heating Ltd.","Plumber, Drainage Contractors, Heating Contractors ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","","","","","https://m.bbb.org/prod/ProfileImages/45287e2d-8f0c-4788-b814-8af4d256d4c2.jpeg?tx=w_80","(902) 466-9649","tel:+1-902-466-9649","355 Pleasant Street Dartmouth, NS",",","B2Y 3S4","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-ken-evans-plumbing-heating-ltd-909"
"https://www.bbb.org/ca/ns/eastern-passage/profile/plumber/dartmouth-central-plumbing-heating-ltd-0087-25036","Dartmouth Central Plumbing & Heating Ltd.","Plumber, Heating Contractors","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","","","","","","(902) 465-6057","tel:+1-902-465-6057","1046 Main Road Eastern Passage, NS",",","B3G 1M6","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-dartmouth-central-plumbing-heating-ltd-25036"
"https://www.bbb.org/ca/ns/amherst/profile/plumber/bickertons-plumbing-heating-0087-48984","Bickerton's Plumbing & Heating","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 669-0566","tel:+1-902-669-0566","77 Spring St Amherst, NS",",","B4H 1S8","",""
"https://www.bbb.org/ca/ns/new-glasgow/profile/plumber/better-call-paul-plumbing-0087-91330","Better Call Paul Plumbing","Plumber","","","BBB Rating: A-","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 753-6388","tel:+1-902-753-6388","P.O. Box 692 New Glasgow, NS",",","B2H 5G2","",""
"https://www.bbb.org/ca/ns/river-john/profile/plumber/falcon-plumbing-heating-0087-49139","Falcon Plumbing & Heating","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 305-4501","tel:+1-902-305-4501","River John, NS","","B0K 1N0","",""
"https://www.bbb.org/ca/nb/sackville/profile/auto-services/compact-appliances-co-ltd-0087-35915","Compact Appliances Co. Ltd.","Auto Services, Plumber, Wholesalers and Distributors","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(506) 364-8002","tel:+1-506-364-8002","142 Crescent Street Sackville, NB",",","E4L 3V5","",""
"https://www.bbb.org/ca/nb/sackville/profile/plumber/sackville-plumbing-heating-0087-49272","Sackville Plumbing & Heating","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(506) 536-1484","tel:+1-506-536-1484","10 Industrial Dr Sackville, NB",",","E4L 3Y4","",""
"https://www.bbb.org/ca/nb/sackville/profile/plumber/cory-allens-plumbing-heating-ltd-0087-49312","Cory Allen’s Plumbing & Heating Ltd.","Plumber, Backflow Testing, Backflow Prevention Devices","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(506) 536-0980","tel:+1-506-536-0980","205 Ogden Mill Rd Sackville, NB",",","E4L 3J5","",""
"https://www.bbb.org/ca/nb/sackville/profile/plumber/wilco-plumbing-0087-70997","Wilco Plumbing","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(506) 536-8703","tel:+1-506-536-8703","309 Walker Road Sackville, NB",",","E4L 3K8","",""
"https://www.bbb.org/ca/ns/cornwallis/profile/construction-services/annapolis-maintenance-services-limited-0087-17813","Annapolis Maintenance Services Limited","Construction Services, Roofing Contractors, Plumber ...","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 638-3535","tel:+1-902-638-3535","P.O. Box 260 Cornwallis Park Cornwallis, NS",",","B0S 1H0","",""
"https://www.bbb.org/ca/ns/antigonish/profile/plumber/eds-plumbing-heating-ltd-0087-49174","Ed's Plumbing & Heating Ltd","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 863-5977","tel:+1-902-863-5977","15 Beech Hill Rd Antigonish, NS",",","B2G 2P9","",""
"https://www.bbb.org/ca/ns/shelburne/profile/plumber/hemeons-plumbing-0087-49162","Hemeon's Plumbing","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 875-1635","tel:+1-902-875-1635","3224 Ohio Rd Shelburne, NS",",","B0T 1W0","",""
"https://www.bbb.org/ca/nb/weldon/profile/plumber/riverview-plumbing-ltd-0087-49214/addressId/59474","Riverview Plumbing Ltd","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(506) 387-8000","tel:+1-506-387-8000","2473 Route 114 Route Weldon, NB",",","E4H 4R5","",""
"https://www.bbb.org/ca/ns/antigonish/profile/plumber/ca-smith-mechanical-ltd-0087-32752","C.A. Smith Mechanical Ltd","Plumber, Heating Contractors","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 863-4096","tel:+1-902-863-4096","1009 Beech Hill Road Antigonish, NS",",","B2G 0B4","",""
"https://www.bbb.org/ca/pe/cornwall/profile/plumber/bell-plumbing-heating-0087-70840","Bell Plumbing & Heating","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 916-0530","tel:+1-902-916-0530","Cornwall, PE","","C0A 1H0","",""
"https://www.bbb.org/ca/ns/antigonish/profile/general-contractor/caper-developments-ltd-0087-67049","Caper Developments Ltd.","General Contractor, Plumber, Painting Contractors ...","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 623-0396","tel:+1-902-623-0396","59 Keating Court Antigonish, NS",",","B2G 0A3","",""
"https://www.bbb.org/ca/ns/antigonish/profile/plumber/j-l-haley-plumbing-heating-ltd-0087-49173","J L Haley Plumbing & Heating Ltd","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 863-4849","tel:+1-902-863-4849","68 St Andrews St Antigonish, NS",",","B2G 2H1","",""
"https://www.bbb.org/ca/ns/westville/profile/plumber/louis-marcott-plumbing-and-heating-0087-42864","Louis Marcott Plumbing and Heating","Plumber, Heating Contractors","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 695-2558","tel:+1-902-695-2558","1891 Dufferin Street Westville, NS",",","B0K 2A0","",""
"https://www.bbb.org/ca/ns/westville/profile/plumber/frank-parkers-plumbing-heating-0087-49142","Frank Parker's Plumbing & Heating","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 396-4064","tel:+1-902-396-4064","420 Pleasant Valley Rd Westville, NS",",","B0K 2A0","",""
"https://www.bbb.org/ca/ns/stellarton/profile/plumber/scotia-plumbing-property-0087-49140","Scotia Plumbing & Property","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 396-5800","tel:+1-902-396-5800","339 S Foord St Stellarton, NS",",","B0K 1S0","",""
"https://www.bbb.org/ca/ns/stellarton/profile/wholesalers-and-distributors/macleod-grant-ltd-0087-35981","MacLeod & Grant Ltd.","Wholesalers and Distributors, Plumber, Heat Pumps ...","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 752-5532","tel:+1-902-752-5532","106 MacKay St PO BOX 809 Stellarton, NS",",","B0K 1S0","",""
"https://www.bbb.org/ca/ns/new-glasgow/profile/plumber/john-vance-plumbing-heating-0087-4355","John Vance Plumbing & Heating","Plumber, Heating Contractors","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 752-3205","tel:+1-902-752-3205","190 Forbes Street New Glasgow, NS",",","B2H 4N9","",""
"https://www.bbb.org/ca/ns/new-glasgow/profile/plumber/ross-macdonald-plumbing-burner-services-ltd-0087-33073/addressId/11238","Ross MacDonald Plumbing & Burner Services Ltd.","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 695-3002","tel:+1-902-695-3002","160-75 Lavinia St New Glasgow, NS",",","B2H 1N5","",""
"https://www.bbb.org/ca/ns/new-glasgow/profile/plumber/those-guys-plumbing-electrical-ltd-0087-82590","Those Guys Plumbing & Electrical Ltd.","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 301-3036","tel:+1-902-301-3036","New Glasgow, NS","","B2H 3E4","",""
"https://www.bbb.org/ca/ns/wallace/profile/plumber/alm-energy-services-inc-0087-36520/addressId/13400","A.L.M. Energy Services Inc.","Plumber, Electrical Contractors, Heating Contractors ...","","","BBB Rating: A+","Service Area","Serving the following areas:","NB","NL","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 257-2081","tel:+1-902-257-2081","P.O. Box 302 Wallace, NS",",","B0K 1Y0","",""
"https://www.bbb.org/ca/ns/malagash/profile/plumber/alm-energy-services-inc-0087-36520","A.L.M. Energy Services Inc.","Plumber, Electrical Contractors, Heating Contractors ...","","","BBB Rating: A+","Service Area","Serving the following areas:","NB","NL","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 257-2081","tel:+1-902-257-2081","643 North Shore Road Malagash, NS",",","B0K 1E0","",""
"https://www.bbb.org/ca/ns/pictou/profile/heating-contractors/mike-chapman-heating-plumbing-inc-0087-49130","Mike Chapman Heating & Plumbing Inc","Heating Contractors, Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 382-2125","tel:+1-902-382-2125","109 Blackie Rd Pictou, NS",",","B0K 1H0","",""
"https://www.bbb.org/ca/ns/thorburn/profile/plumber/als-plumbing-heating-0087-49141","Al's Plumbing & Heating","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 759-5668","tel:+1-902-759-5668","101 New Row Thorburn, NS",",","B0K 1W0","",""
"https://www.bbb.org/ca/ns/thorburn/profile/plumber/ross-macdonald-plumbing-burner-services-ltd-0087-33073","Ross MacDonald Plumbing & Burner Services Ltd.","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 695-3002","tel:+1-902-695-3002","PO Box 159 Thorburn, NS",",","B0K 1W0","",""
"https://www.bbb.org/ca/ns/bridgetown/profile/plumber/lmd-plumbing-0087-49161","Lmd Plumbing","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 665-2382","tel:+1-902-665-2382","9810 1 Hwy Bridgetown, NS",",","B0S 1C0","",""
"https://www.bbb.org/ca/ns/amherst/profile/plumber/george-b-chapman-plumbing-heating-0087-36537","George B. Chapman Plumbing & Heating","Plumber","","","BBB Rating: A+","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 667-8636","tel:+1-902-667-8636","36 Chamberlain St Amherst, NS",",","B4H 1J8","",""
"https://www.bbb.org/ca/ns/egerton/profile/plumber/ra-mechanical-0087-73268","R.A. Mechanical","Plumber","","","","","","","","https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_80","(902) 872-3330","tel:+1-902-872-3330","Egerton, NS","","B0K 1G0","",""
